Zeitpunkt;IP;Browser/OS;Referer
2025-05-01 18:34:27;93.200.145.0;Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 18:34:36;93.200.145.0;Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 21:05:39;93.200.145.0;Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:41:27;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:41:31;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:47:06;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:47:26;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:49:02;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:54:33;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
2025-05-01 22:56:17;80.187.64.0;Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36;https://www.sc-laufenburg.de/app/
